candidate_name,pct
Bernie Sanders,47.6
Kamala Harris,47.596567944250864
Josh Shapiro,46.09090909090909
Gretchen Whitmer,46.06666666666667
Donald Trump,45.92930036999664
Elizabeth Ann Warren,44.5
Pete Buttigieg,44.25
Mark Kelly,43.0
J.B. Pritzker,43.0
Ron DeSantis,42.358139534883726
Roy A. Cooper,41.0
Joe Biden,40.72456086286595
Nikki Haley,40.36851851851852
Raphael Warnock,40.0
Gavin Newsom,38.626666666666665
Mike Pence,33.5
Vivek G. Ramaswamy,33.5
Tim Scott,33.0
Robert F. Kennedy,11.737656427758816
Liz Cheney,8.0
"Joe Manchin, III",4.7700000000000005
Robert Wells,2.0
Charles Ballay,2.0
Lars Mapstead,1.3365853658536584
Cornel West,1.132282003710575
Jill Stein,1.084265593561368
Christopher Garrity,1.0
Claudia De La Cruz,0.9675675675675675
Chase Oliver,0.861820895522388
Peter Sonski,0.7
Shiva Ayyadurai,0.6
Joel Skousen,0.2
Randall A. Terry,0.15588235294117647
Joseph Kishore,0.028571428571428574
