state,Donald Trump,Kamala Harris
Alabama,56.23333333333333,
Alaska,50.114285714285714,43.58571428571429
Arizona,46.91563176895306,46.656503067484664
Arkansas,51.96666666666667,40.0
California,33.410714285714285,59.160869565217396
Colorado,39.665,54.800000000000004
Connecticut,36.733333333333334,53.0
Delaware,36.333333333333336,54.8
Florida,49.36904347826086,44.50970149253732
Georgia,47.243181818181824,46.72067484662577
Hawaii,32.86666666666667,
Idaho,54.15,
Illinois,39.400000000000006,58.333333333333336
Indiana,53.3125,41.4
Iowa,48.41111111111111,44.58571428571429
Kansas,48.46666666666667,41.3
Kentucky,51.5,
Louisiana,50.4,
Maine,40.95294117647059,52.0
Maine CD-1,34.333333333333336,59.25
Maine CD-2,47.3,44.55555555555556
Maryland,32.657586206896546,61.737
Massachusetts,30.568181818181817,61.629999999999995
Michigan,45.4454954954955,47.8431746031746
Minnesota,42.24777777777778,49.688148148148144
Mississippi,50.0,
Missouri,52.855,41.611111111111114
Montana,54.43333333333334,38.806666666666665
Nebraska,53.52,39.0
Nebraska CD-1,51.0,43.0
Nebraska CD-2,41.69230769230769,50.81818181818182
Nebraska CD-3,70.0,25.0
Nevada,46.36959595959596,47.29375
New Hampshire,42.324999999999996,51.23913043478261
New Jersey,39.60909090909091,54.214285714285715
New Mexico,41.599999999999994,49.1
New York,37.95882352941176,55.74666666666667
North Carolina,47.24165289256198,47.3458125
North Dakota,55.239999999999995,36.0
Ohio,50.10467532467533,44.192926829268295
Oklahoma,58.74444444444445,34.0
Oregon,38.55,49.0
Pennsylvania,46.32641711229947,47.77042372881356
Rhode Island,36.663636363636364,54.333333333333336
South Carolina,52.59571428571429,41.848571428571425
South Dakota,54.32857142857143,34.75
Tennessee,54.574999999999996,36.56
Texas,49.25154761904762,44.306382978723406
Utah,51.67894736842105,34.7
Vermont,28.733333333333334,66.66666666666667
Virginia,42.194939759036146,47.67021739130435
Washington,36.74230769230769,54.31
West Virginia,58.375,34.0
Wisconsin,45.647980132450336,48.52513368983958
Wyoming,63.15,27.45
