pollster,transparency_score
1892 Polling,1.0
1983 Labs,1.0
ARW Strategies,1.0
ActiVote,8.0
Alaska Survey Research,7.0
American Pulse,6.0
Arc Insights,3.0
AtlasIntel,6.0
Axis Research,2.0
BK Strategies,1.5
Beacon/Shaw,8.027586206896551
Benenson Strategy Group/GS Strategy Group,0.0
Big Data Poll,7.0
Bowling Green State University/YouGov,7.0
Bullfinch,4.0
CES / YouGov,10.0
CNN/SSRS,10.0
CWS Research,6.0
Capitol Weekly,5.0
Change Research,5.0
Cherry Communications,1.0
Chism Strategies,1.0
Christopher Newport U.,9.0
Civiqs,8.0
Claflin University,5.0
Cygnal,4.0
Cygnal/Aspect Strategic,5.0
DHM Research,6.0
Dan Jones,5.0
Dartmouth Poll,6.0
Data Orbital,10.0
Data Viewpoint,7.0
Data for Progress,8.956521739130435
Digital Research,3.0
EPIC/MRA,3.0
East Carolina University,7.0
Echelon Insights,9.0
Elon U.,8.0
Elway,6.0
Embold Research,6.0
Emerson,6.928753180661578
Fabrizio,6.0
Fabrizio Ward,6.5
Fabrizio/David Binder Research,2.0
Fabrizio/GBAO,6.0
Fabrizio/Impact,2.0
Fabrizio/McLaughlin,1.0
Faucheux Strategies,5.5
Fleming & Associates,4.0
Florida Atlantic University,7.0
Florida Atlantic University/Mainstreet Research,6.0
Focaldata,7.159744408945687
Fort Hays State University,8.0
Franklin and Marshall College,8.5
GQR,5.5
Glengariff Group Inc.,1.0
Global Strategy Group,1.0
Global Strategy Group/North Star Opinion Research,3.5
Gonzales Research & Media Services,5.0
HarrisX,6.0
Hendrix College,4.0
High Point University,8.0
HighGround,4.166666666666667
Hoffman Research,5.0
Hunt Research,7.0
Impact Research,1.0
InsiderAdvantage,5.0
Ipsos,9.5
Iron Light,2.0
J.L. Partners,6.0
John Zogby Strategies,5.0
KAConsulting LLC,3.5
Kaplan Strategies,4.5
Keating Research,3.0
Lake Research,1.0
Landmark Communications,5.0
MRG (Marketing Resource Group),6.0
MSU - Billings,7.0
Manhattan Institute,4.0
Marist,8.0
Marquette Law School,10.0
Mason-Dixon,6.0
MassINC Polling Group,7.0
McLaughlin,4.0
Meeting Street Insights,1.5
Meredith College,8.0
Miami University (Ohio),5.0
Michigan State University/YouGov,3.0
Mitchell,6.661290322580645
Monmouth,9.0
Morning Consult,3.0
Muhlenberg,8.0
National Public Affairs,2.0
National Research,1.0
Navigator,4.5
New Bridge Strategy/Aspect Strategic,3.0
Noble Predictive Insights,6.0
North Star Opinion Research,3.0
Ohio Northern University Institute for Civics and Public Policy,6.0
OnMessage Inc.,1.0
P2 Insights,1.0
PPIC,10.0
PPP,3.977401129943503
Pan Atlantic Research,7.0
Patriot Polling,5.0
Peak Insights,1.0
Praecones Analytica,8.5
Prime Group,1.0
Public Opinion Strategies,3.0
Quantus Insights,5.5
Quantus Polls and News,8.5
Quinnipiac,9.0
RABA Research,7.0
RG Strategies,2.0
RMG Research,5.0
Rasmussen,7.0
Redfield & Wilton Strategies,9.0
Remington,7.0
Research & Polling,3.5
Research America,4.0
Research Co.,6.0
Roanoke College,7.0
Rutgers-Eagleton,10.0
SSRS,10.0
Selzer,7.5
Siena,7.0
Siena/NYT,9.0
Slingshot Strategies,3.0
SoCal Research,8.0
SoCal Strategies,9.0
SoonerPoll.com,9.5
Spry Strategies,4.0
St. Anselm,6.0
St. Pete Polls,7.0
Stetson University Center for Public Opinion Research,6.0
Strategies 360,5.0
Suffolk,8.0
Survation,8.0
SurveyUSA,8.105263157894736
SurveyUSA/High Point University,10.0
Susquehanna,5.1
TIPP,3.0
Target Insyght,1.0
Targoz Market Research,7.0
Tarrance,1.0
Texas Hispanic Policy Foundation,5.0
Texas Lyceum,6.0
The Citadel,10.0
The Tyson Group,3.5
The Washington Post,9.0
Torchlight Strategies,2.0
Trafalgar Group,4.0
Tulchin Research,3.0
U. Arizona/TrueDot,5.0
U. Georgia SPIA,7.0
U. Houston,7.181818181818182
U. Massachusetts - Lowell,8.0
U. New Hampshire,10.0
U. North Florida,10.0
U. Rhode Island,5.0
UC Berkeley,9.0
UMBC,10.0
UMass Amherst/YouGov,8.25
USC Dornsife/CSU Long Beach/Cal Poly Pomona,5.0
University of Akron,3.5
University of Delaware,4.0
University of Houston/Texas Southern University,9.0
University of Maryland/Washington Post,8.0
University of Maryland/YouGov,5.0
University of Massachusetts Lowell/YouGov,9.0
University of Texas at Tyler,8.5
University of Wyoming,2.0
VCreek/AMG,3.0
Victory Insights,1.0
Virginia Commonwealth U.,9.0
WPAi,3.0
Washington Post/George Mason University,9.0
Wick,5.0
Winthrop U.,8.5
YouGov,9.0
YouGov Blue,9.0
YouGov/Center for Working Class Politics,4.5
Z to A Research,3.5
Zogby,7.0
co/efficient,5.0
